brand,storeId,storeName,avg4w,weeksData,coverageCurrent,coverageResult,diffGoal,devPct,status,losesCoverage,trend,w1,w2,w3,w4
House Of Salads - Turbo,900445677,House Of Salad Villa del Prado - Turbo,2.333769836,4,2700,2700,0.3337698357,0.1668849179,🟡 Atención,No,Estable,0.4805555,4.5166668,1.4949999,2.842857143
Pret Sandwich Bistro - Turbo,900416174,Pret Sándwich Bistro Manila - Turbo,2.333333333,3,3000,3000,0.3333333333,0.1666666667,🟡 Atención,No,Mejorando,3.25,1.983333,1.766667,
Brunch & Munch - Turbo,900426741,Brunch & Munch Bucaramanga - Turbo,2.31676031,4,2700,2700,0.31676031,0.158380155,🟡 Atención,No,Estable,2.966666647,1.8814286,3.198214286,1.220731707
Señor Burrito. - Turbo,900467425,Señor Burrito Barranquilla Norte - Turbo,2.315575515,4,3000,3000,0.3155755149,0.1577877574,🟡 Atención,No,Estable,3.21666675,2.017857143,2.636111167,1.391667
Pret Sandwich Bistro - Turbo,900472664,Pret Sandwich Bistro Ingenio - Turbo,2.2933334,2,2100,2100,0.2933334,0.1466667,🟡 Atención,No,Empeorando,0,,4.5866668,
Foodology Court - Turbo,900465154,Foodology Villa Del Prado - Turbo Cra. 55 #172-27,2.283333,1,3000,3000,0.283333,0.1416665,🟡 Atención,No,Sin datos suficientes,2.283333,,,
Pret Sandwich Bistro - Turbo,900416172,Pret Sandwich Bistro Chapinero - Turbo,2.269907361,3,2400,2400,0.2699073611,0.1349536806,🟡 Atención,No,Estable,1.422222333,2.98749975,2.4,
Pret Sandwich Bistro - Turbo,900416549,Pret Sandwich Bistro 93 - Turbo,2.253819417,4,3000,3000,0.2538194167,0.1269097083,🟡 Atención,No,Estable,0.95,3.0875,0.083333,4.894444667
Alba Vegetarian - Turbo,900475346,Alba Vegetarian Chico - Turbo,2.2458335,2,3000,3000,0.2458335,0.12291675,🟡 Atención,No,Estable,,2.4083335,2.0833335,
Almuerzos D´la Casa - Turbo,900475129,Almuerzos D` La Casa - Kennedy - Turbo,2.2166665,2,2700,2700,0.2166665,0.10833325,🟡 Atención,No,Mejorando,3.95,,0.483333,
Numa Cocina Mediterranea - Turbo,900476060,Cocina Mediterranea Ingenio - Turbo,2.2166665,2,2400,2400,0.2166665,0.10833325,🟡 Atención,No,Estable,,2.533333,1.9,
House Of Salads - Turbo,900488856,House Of Salads Arrecife - Turbo,2.202777708,4,3000,3000,0.2027777083,0.1013888542,🟡 Atención,No,Estable,2.7166665,1.425,2.827777833,1.8416665
Avocalia Turbo,900464312,Avocalia Cl 109 - Turbo,2.201341008,4,3000,3000,0.2013410082,0.1006705041,🟡 Atención,No,Mejorando,2.435312494,2.914646465,1.755526746,1.699878328
Sanduches el Jefe - Turbo,900420512,Sandwich el Jefe Colina - Turbo,2.1972225,3,2700,2700,0.1972225,0.09861125,🟡 Atención,No,Estable,3.166667,1.516667,1.9083335,
Señor Burrito. - Turbo,900488996,Señor Burrito Arrecife - Turbo,2.190036574,4,2700,2700,0.1900365741,0.09501828707,🟡 Atención,No,Mejorando,3.531818273,1.786,2.285185167,1.157142857
Green House Fd - Turbo,900438449,Green House Parque 93 - Turbo,2.163491987,4,2700,2700,0.163491987,0.08174599348,🟡 Atención,No,Empeorando,1.702272705,1.628294558,2.544697,2.778703685
Honest Food Fdl - Turbo,900472141,Honest Food Barranquilla - Turbo,2.159315034,4,2700,2700,0.1593150343,0.07965751716,🟡 Atención,No,Mejorando,3.905303,1.722807,1.481372471,1.527777667
Numa Cocina Mediterranea - Turbo,900463749,Cocina Mediterranea Laureles - Turbo,2.150000083,4,2700,2700,0.1500000833,0.07500004167,🟡 Atención,No,Empeorando,1.733333333,0.8083335,5.2,0.8583335
Numa Cocina Mediterranea - Turbo,900476061,Cocina Mediterranea Andes - Turbo,2.14601187,4,2100,2100,0.1460118696,0.07300593482,🟡 Atención,No,Empeorando,1.830952286,0.9880951429,0.99166675,4.7733333
Local Cocina Consciente - Turbo,900477106,Local - Cocina Consciente Barranquilla - Turbo,2.13333325,2,2100,2100,0.13333325,0.066666625,🟡 Atención,No,Mejorando,3.9666665,,0.3,
