Semana,Ciudad,Marca,Store ID,Store Name,Cocina,Avg RTWT (limpio),Current Size (m),Final Size (m)
25/5/2026,Medellín,Foodology Court - Turbo,CO900465144,Foodology Laureles - Turbo Calle 32f #66b-254,Laureles,2.43,2700.0,3000.0
25/5/2026,Bogotá,Vicio - Turbo,CO900426529,Vicio Andes - Turbo,Andes,1.16,3000.0,3000.0
25/5/2026,Cartagena,Monteverde - Turbo,CO900482005,Monteverde Cartagena - Turbo,Cartagena,1.16,2700.0,3000.0
25/5/2026,Bogotá,Foodology Court - Turbo,CO900465151,Foodology Usaquen - Turbo Cl. 120a #3,Usaquén,1.15,3000.0,3000.0
25/5/2026,Medellín,Foodology Court - Turbo,CO900465147,Foodology Manila - Turbo Cra. 42 #10-65,Manila,0.83,3000.0,3000.0
25/5/2026,Bogotá,Cinnabon - Turbo,CO900402238,Cinnabon Usaquén - Turbo,Usaquén,1.13,3000.0,3000.0
25/5/2026,Cali,Pret Sandwich Bistro - Turbo,CO900416171,Pret Sandwich Bistro San Fernando - Turbo,San Fernando,1.13,3000.0,3000.0
25/5/2026,Cartagena,Pret Sandwich Bistro - Turbo,CO900481996,Pret Sandwich Bistro Cartagena - Turbo,Cartagena,1.13,2400.0,2400.0
25/5/2026,Medellín,Frost By Oreo - Turbo,CO900396768,Frost By Oreo Laureles - Turbo,Laureles,0.7,2700.0,3000.0
25/5/2026,Bogotá,Almuerzos D´la Casa - Turbo,CO900471212,Almuerzos D´la Casa - Colina - Turbo,Colina,0.98,2700.0,3000.0
25/5/2026,Medellín,Frost By Oreo - Turbo,CO900405218,Frost By Oreo Manila - Turbo,Manila,0.21,3000.0,3000.0
25/5/2026,Bogotá,Mañanero Diario - Turbo,CO900475200,Mañanero Andes - Turbo,Andes,0.95,3000.0,3000.0
25/5/2026,Medellín,Get Smashed Burgers - Turbo,CO900416436,Get Smash Laureles - Turbo,Laureles,,2400.0,2400.0
25/5/2026,Bogotá,Honest Food Fdl - Turbo,CO900472136,Honest Food Usaquen - Turbo,Usaquén,0.93,2700.0,3000.0
25/5/2026,Bogotá,Avocalia Turbo,CO900401243,Avocalia Usaquén - Turbo,Usaquén,0.93,3000.0,3000.0
25/5/2026,Bogotá,Numa Cocina Mediterranea - Turbo,CO900463762,Cocina Mediterranea Villa Del Prado - Turbo,Villa del Prado,0.92,2400.0,2400.0
25/5/2026,Bogotá,Frost By Oreo - Turbo,CO900400262,Frost By Oreo Castellana - Turbo,Parque 93 / Castellana,0.92,2700.0,2700.0
25/5/2026,Bogotá,Doritos Locos By Dorito - Turbo,CO900473563,Doritos Locos By Dorito Andes - Turbo,Andes,0.9,3000.0,3000.0
25/5/2026,Bogotá,Mañanero Diario - Turbo,CO900443496,Mañanero Diario Usaquén - Turbo,Usaquén,0.88,3000.0,3000.0
